Borough,Ward,Geog level,Constituency,Area Code,Turnout,,,London Mayor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London Member,,,,,,,,,,,,,,,,,,,Constituency Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1st choice,,,,,,,,,,,,,1st choice spoils,,,,,,2nd choice,,,,,,,,,,,,,2nd choice spoils,,,,Total Good,,,,,,,,,,,,,Spoils,,,,,,Total good,,,,,,,,,,,,,Spoils,,,,,,Candidate names,,,,,,,,,,,
Greenwich,Kidbrooke With Hornfair,Ward,Greenwich & Lewisham,E05000223,"2,977","8,558",35%,Sadiq Aman Khan - Labour Party,1322,869,162,111,201,24,38,54,33,3,65,13,2895,0,0,10,5,67,82,426,286,561,305,314,64,114,118,82,26,210,18,2524,369,0,2,371,38,63,38,120,38,618,214,1317,36,14,352,96,2944,0,0,22,1,9,32,1522,619,245,129,417,18,,,,,,,2950,0,0,21,1,5,27,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Greenwich,Middle Park And Sutcliffe,Ward,Greenwich & Lewisham,E05000224,"3,207","8,180",39%,Sadiq Aman Khan - Labour Party,1397,948,161,160,251,26,33,68,31,3,68,4,3150,0,0,9,5,42,56,397,298,576,371,345,70,98,127,77,22,220,11,2612,535,1,2,538,23,71,34,189,17,770,216,1295,33,20,399,112,3179,0,0,8,0,20,28,1488,791,247,207,441,14,,,,,,,3188,0,0,13,0,5,18,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Greenwich,Peninsula,Ward,Greenwich & Lewisham,E05000225,"4,433","10,688",41%,Sadiq Aman Khan - Labour Party,2091,1113,431,240,146,26,35,48,39,11,148,17,4345,0,0,11,3,74,88,771,395,1139,543,243,44,111,89,137,51,415,31,3969,374,0,2,376,57,67,24,294,26,896,640,1821,48,22,266,233,4394,0,0,15,2,22,39,2033,946,721,362,313,27,,,,,,,4402,0,0,21,4,4,29,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Greenwich,Plumstead,Ward,Greenwich & Lewisham,E05000226,"3,325","9,145",36%,Sadiq Aman Khan - Labour Party,1807,695,167,112,208,40,46,59,25,10,53,9,3231,0,0,8,7,79,94,573,358,525,258,296,73,165,119,98,37,225,17,2744,484,0,3,487,40,67,43,122,75,453,200,1809,33,13,354,81,3290,0,0,16,3,15,34,1985,478,238,135,418,37,,,,,,,3291,0,0,21,2,11,34,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Greenwich,Shooters Hill,Ward,Greenwich & Lewisham,E05000227,"3,726","8,423",44%,Sadiq Aman Khan - Labour Party,1748,1017,266,141,213,24,37,53,33,6,75,11,3624,0,0,13,8,80,101,509,315,741,385,396,84,155,108,107,34,250,28,3112,509,0,3,512,46,55,39,176,47,706,350,1697,40,13,396,116,3681,0,0,23,3,16,42,1923,715,398,181,449,28,,,,,,,3694,0,0,26,1,5,32,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Greenwich,Thamesmead Moorings,Ward,Greenwich & Lewisham,E05000228,"2,889","10,049",29%,Sadiq Aman Khan - Labour Party,1558,614,101,73,172,38,64,70,20,9,52,9,2780,0,0,18,6,85,109,564,292,368,242,204,61,141,101,67,23,166,37,2266,511,1,2,514,27,75,31,81,87,379,117,1680,51,11,252,55,2846,0,0,19,1,22,42,1835,400,145,103,324,36,,,,,,,2843,0,0,37,1,7,45,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Greenwich,Woolwich Common,Ward,Greenwich & Lewisham,E05000229,"3,100","9,218",34%,Sadiq Aman Khan - Labour Party,1833,511,209,77,113,25,61,50,27,9,71,8,2994,0,0,17,5,82,104,709,259,519,243,156,64,156,77,85,27,221,17,2533,457,1,3,461,26,48,37,102,41,349,245,1880,54,16,187,86,3071,0,0,14,0,15,29,2048,366,267,126,213,53,,,,,,,3073,0,0,18,1,8,27,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Greenwich,Woolwich Riverside,Ward,Greenwich & Lewisham,E05000230,"3,709","11,029",34%,Sadiq Aman Khan - Labour Party,2088,722,219,131,166,29,54,49,40,3,87,9,3597,0,0,16,3,93,112,689,345,708,324,204,55,163,96,101,49,293,35,3062,531,0,4,535,43,48,42,137,63,542,288,2052,46,20,257,131,3669,0,0,20,1,19,40,2272,549,330,181,303,39,,,,,,,3674,0,0,26,1,8,35,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,Bellingham,Ward,Greenwich & Lewisham,E05000437,"2,848","8,552",33%,Sadiq Aman Khan - Labour Party,1563,542,173,106,169,21,52,67,22,6,40,20,2781,0,0,24,2,41,67,459,257,447,250,184,67,122,92,75,32,186,32,2203,577,0,1,578,37,73,16,106,51,389,217,1520,43,15,253,66,2786,0,0,46,0,16,62,1658,405,246,133,308,36,,,,,,,2786,0,0,53,2,7,62,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,Blackheath,Ward,Greenwich & Lewisham,E05000438,"3,941","7,999",49%,Sadiq Aman Khan - Labour Party,1913,1043,321,269,81,15,28,18,33,6,161,7,3895,0,0,10,10,26,46,593,267,925,647,205,17,89,52,102,25,443,38,3403,491,0,1,492,45,22,20,385,21,841,479,1638,33,15,161,246,3906,0,0,21,1,13,35,1805,873,583,443,183,16,,,,,,,3903,0,0,33,0,5,38,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,Brockley,Ward,Greenwich & Lewisham,E05000439,"4,869","9,959",49%,Sadiq Aman Khan - Labour Party,3017,563,668,168,64,15,36,19,59,2,192,13,4816,0,0,19,7,27,53,941,250,1635,420,132,25,112,44,141,37,569,25,4331,479,1,5,485,41,36,12,216,45,429,1081,2465,45,18,108,333,4829,0,0,25,5,10,40,2642,441,1300,286,122,33,,,,,,,4824,0,0,38,2,5,45,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,Catford South,Ward,Greenwich & Lewisham,E05000440,"3,945","8,949",44%,Sadiq Aman Khan - Labour Party,2377,754,263,165,89,7,45,34,33,9,83,8,3867,0,0,26,7,44,77,609,324,1002,445,214,34,154,56,114,48,307,20,3327,535,2,3,540,41,32,14,210,86,553,388,2193,54,21,173,136,3901,0,0,26,2,15,43,2389,564,459,230,217,32,,,,,,,3891,0,0,37,4,13,54,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,Crofton Park,Ward,Greenwich & Lewisham,E05000441,"4,621","8,977",51%,Sadiq Aman Khan - Labour Party,2761,679,567,181,71,7,27,25,35,7,190,8,4558,0,0,30,6,27,63,856,267,1468,513,142,31,115,58,113,41,548,28,4180,373,1,4,378,38,26,11,260,54,516,842,2281,41,17,132,356,4574,0,0,32,2,13,47,2506,509,1017,346,162,24,,,,,,,4564,0,0,48,1,8,57,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,Downham,Ward,Greenwich & Lewisham,E05000442,"2,662","8,437",32%,Sadiq Aman Khan - Labour Party,1261,612,109,196,238,20,29,61,28,3,40,10,2607,0,0,16,12,27,55,431,268,378,351,245,65,79,128,80,35,140,20,2220,383,2,2,387,29,63,27,235,42,385,118,1249,29,13,361,60,2611,0,0,36,3,11,50,1302,380,151,344,421,26,,,,,,,2624,0,0,26,4,7,37,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,Evelyn,Ward,Greenwich & Lewisham,E05000443,"3,597","9,314",39%,Sadiq Aman Khan - Labour Party,2248,534,278,149,101,18,51,42,45,10,60,8,3544,0,0,17,5,31,53,714,274,708,334,146,53,140,62,117,43,281,27,2899,633,0,12,645,36,48,25,161,47,383,349,2136,51,22,174,128,3560,0,0,22,2,13,37,2253,393,425,215,205,55,,,,,,,3546,0,0,37,5,9,51,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,Forest Hill,Ward,Greenwich & Lewisham,E05000444,"4,262","8,608",50%,Sadiq Aman Khan - Labour Party,2361,805,431,282,71,6,40,21,39,0,134,20,4210,0,0,15,6,31,52,715,260,1201,666,198,23,99,30,107,26,479,24,3828,381,0,1,382,40,19,9,390,45,628,641,1986,46,19,150,250,4223,0,0,20,1,15,36,2172,639,727,494,170,20,,,,,,,4222,0,0,35,1,3,39,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,Grove Park,Ward,Greenwich & Lewisham,E05000445,"3,273","8,607",38%,Sadiq Aman Khan - Labour Party,1465,966,217,163,196,19,33,52,26,9,51,13,3210,0,0,20,5,38,63,497,306,612,402,363,50,100,82,86,32,257,26,2813,396,0,1,397,47,46,20,181,44,720,276,1421,31,18,343,74,3221,0,0,33,2,17,52,1552,725,316,208,418,16,,,,,,,3235,0,0,34,0,3,37,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,Ladywell,Ward,Greenwich & Lewisham,E05000446,"4,429","8,271",54%,Sadiq Aman Khan - Labour Party,2765,544,531,163,53,12,40,18,35,3,175,10,4349,0,0,37,3,39,79,811,218,1485,433,126,21,112,43,112,42,527,28,3958,389,2,0,391,38,22,12,204,53,398,886,2257,46,22,103,332,4373,0,0,38,0,18,56,2457,412,1078,269,143,27,,,,,,,4386,0,0,34,1,7,42,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,Lee Green,Ward,Greenwich & Lewisham,E05000447,"4,393","8,499",52%,Sadiq Aman Khan - Labour Party,2257,1014,376,287,112,13,43,36,44,6,130,17,4335,0,0,11,7,40,58,690,350,1111,707,225,37,114,58,119,31,410,35,3887,448,0,0,448,55,38,16,394,39,805,505,2021,41,20,202,223,4359,0,0,24,1,8,33,2181,799,621,490,223,35,,,,,,,4349,0,0,30,2,11,43,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,Lewisham Central,Ward,Greenwich & Lewisham,E05000448,"4,385","10,418",42%,Sadiq Aman Khan - Labour Party,2566,701,439,195,89,22,58,17,40,14,139,23,4303,0,0,29,6,47,82,851,336,1085,485,170,25,159,57,141,49,440,33,3831,469,0,3,472,47,28,21,216,46,561,589,2318,71,31,148,241,4317,0,1,41,5,20,67,2541,564,717,279,180,37,,,,,,,4318,0,0,50,8,8,66,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,New Cross,Ward,Greenwich & Lewisham,E05000449,"3,792","9,092",42%,Sadiq Aman Khan - Labour Party,2465,422,390,115,62,12,57,27,51,11,104,12,3728,0,0,22,9,33,64,806,239,952,308,96,34,133,68,135,42,391,25,3229,494,1,4,499,34,35,17,149,44,301,592,2261,40,16,98,157,3744,0,0,38,0,9,47,2376,292,716,188,129,44,,,,,,,3745,0,0,40,1,5,46,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,Perry Vale,Ward,Greenwich & Lewisham,E05000450,"4,497","9,309",48%,Sadiq Aman Khan - Labour Party,2589,825,429,217,92,21,42,37,24,6,149,11,4442,0,1,18,10,25,54,748,273,1278,563,199,33,126,64,117,40,445,29,3915,527,0,0,527,46,32,12,297,52,650,623,2265,43,14,186,239,4459,0,1,20,2,15,38,2460,663,717,373,217,25,,,,,,,4455,0,0,32,4,5,41,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,Postal Votes - Lewisham,Postal,Greenwich & Lewisham,E09000023 (Postal),"16,368","23,562",69%,Sadiq Aman Khan - Labour Party,7966,4245,1181,904,656,107,230,323,119,33,406,71,16241,0,2,49,15,61,127,2658,1518,3406,2487,1264,228,574,639,405,153,1482,136,14950,1286,2,3,1291,200,376,80,1114,225,3319,1557,7410,251,110,1013,600,16255,0,2,40,5,51,98,8085,3453,1897,1408,1264,171,,,,,,,16278,0,2,52,7,15,76,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,Rushey Green,Ward,Greenwich & Lewisham,E05000451,"3,258","8,019",41%,Sadiq Aman Khan - Labour Party,2047,464,281,110,66,15,48,29,33,6,79,16,3194,0,0,33,7,24,64,539,217,839,324,145,23,118,54,104,31,323,32,2749,443,0,2,445,25,25,24,144,54,350,389,1855,43,13,124,166,3212,0,0,32,1,13,46,2047,348,443,173,148,36,,,,,,,3195,0,0,50,0,12,62,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,Sydenham,Ward,Greenwich & Lewisham,E05000452,"4,254","9,213",46%,Sadiq Aman Khan - Labour Party,2341,863,399,168,112,27,36,35,33,8,132,22,4176,0,0,25,2,51,78,702,281,1072,516,240,48,123,87,135,28,371,36,3639,536,0,1,537,48,50,27,215,44,682,559,2113,33,21,217,194,4203,0,0,31,1,19,51,2275,702,657,290,254,23,,,,,,,4201,0,0,42,3,7,52,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,Telegraph Hill,Ward,Greenwich & Lewisham,E05000453,"4,595","9,403",49%,Sadiq Aman Khan - Labour Party,3079,451,512,136,56,13,44,21,59,8,149,7,4535,0,0,15,7,38,60,852,194,1481,401,98,21,140,43,147,32,519,12,3940,592,1,2,595,38,29,14,191,40,327,818,2614,53,26,105,297,4552,0,0,23,2,18,43,2844,313,1004,216,131,44,,,,,,,4552,0,0,30,3,10,43,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Lewisham,Whitefoot,Ward,Greenwich & Lewisham,E05000454,"2,908","8,188",36%,Sadiq Aman Khan - Labour Party,1623,582,115,161,146,23,32,68,24,5,39,23,2841,0,0,26,6,35,67,463,229,332,342,224,61,107,64,83,31,191,18,2145,692,0,4,696,24,68,26,192,50,413,139,1571,29,6,247,62,2827,0,0,51,2,28,81,1676,394,188,215,331,23,,,,,,,2827,0,0,66,2,13,81,Len Duvall,Adam Michael Thomas,Imogen Susan Frances Solly,Julia Fletcher,Paul James Oakley,Ajaratu Josephine Bangura,,,,,,
Havering,Brooklands,Ward,Havering & Redbridge,E05000306,"3,287","10,197",32%,Zac Goldsmith - The Conservative Party,1036,1400,132,106,323,27,29,78,22,3,59,8,3223,1,0,19,7,37,64,340,350,475,282,588,119,134,167,78,32,164,35,2764,455,3,1,459,24,95,38,121,39,1086,165,1008,34,13,544,83,3250,0,0,20,1,16,37,1093,1177,199,108,670,,,,,,,,3247,0,0,31,0,8,39,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Havering,Cranham,Ward,Havering & Redbridge,E05000307,"3,994","8,322",48%,Zac Goldsmith - The Conservative Party,635,2408,159,173,357,17,23,70,23,6,37,6,3914,0,0,23,3,54,80,274,374,585,436,883,104,65,208,68,28,183,26,3234,679,0,1,680,48,97,28,187,40,1910,220,552,27,11,768,66,3954,0,0,25,2,13,40,611,1993,251,182,922,,,,,,,,3959,0,0,26,1,8,35,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Havering,Elm Park,Ward,Havering & Redbridge,E05000308,"3,308","8,538",39%,Zac Goldsmith - The Conservative Party,825,1479,142,86,455,30,25,106,23,5,41,7,3224,0,1,16,4,62,83,246,319,364,232,699,120,82,201,66,24,140,31,2524,699,0,1,700,38,126,40,103,34,1016,142,793,30,10,861,50,3243,0,0,42,4,18,64,863,1071,204,90,1025,,,,,,,,3253,0,0,51,1,3,55,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Havering,Emerson Park,Ward,Havering & Redbridge,E05000309,"3,456","7,995",43%,Zac Goldsmith - The Conservative Party,605,2173,106,103,274,12,27,47,14,0,39,1,3401,0,2,13,1,39,55,248,394,421,357,859,89,93,174,56,30,157,29,2907,491,1,2,494,24,53,13,151,27,1783,122,544,33,9,596,55,3410,0,0,36,1,9,46,580,1833,180,144,685,,,,,,,,3422,0,0,33,0,1,34,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Havering,Gooshays,Ward,Havering & Redbridge,E05000310,"2,697","9,414",29%,Zac Goldsmith - The Conservative Party,780,941,87,55,459,51,39,109,27,2,40,21,2611,0,1,17,2,66,86,240,271,343,193,587,178,84,168,77,23,126,22,2312,298,1,0,299,43,118,47,66,29,615,108,772,29,13,797,40,2677,0,0,12,0,7,19,847,639,139,75,974,,,,,,,,2674,0,0,21,0,2,23,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Havering,Hacton,Ward,Havering & Redbridge,E05000311,"3,678","8,340",44%,Zac Goldsmith - The Conservative Party,683,2011,128,128,472,19,32,66,13,5,39,2,3598,1,0,16,5,58,80,236,400,466,420,923,121,83,230,73,34,160,25,3171,423,3,1,427,34,87,32,174,41,1493,133,639,25,7,920,50,3635,0,0,24,3,15,42,691,1547,170,147,1086,,,,,,,,3641,0,0,33,0,4,37,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Havering,Harold Wood,Ward,Havering & Redbridge,E05000312,"3,400","8,901",38%,Zac Goldsmith - The Conservative Party,754,1680,119,156,407,33,29,81,23,7,32,14,3335,3,0,14,5,42,64,285,342,438,453,742,120,65,198,73,24,159,28,2927,405,1,2,408,45,79,44,178,64,1292,148,687,30,7,736,51,3361,0,0,23,1,14,38,739,1346,199,210,873,,,,,,,,3367,0,0,26,1,6,33,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Havering,Havering Park,Ward,Havering & Redbridge,E05000313,"2,729","8,341",33%,Zac Goldsmith - The Conservative Party,515,1426,87,82,341,23,13,107,25,2,26,8,2655,0,0,12,0,59,71,171,249,297,212,598,111,65,217,44,22,106,21,2113,541,1,0,542,34,118,41,96,33,1068,109,484,21,6,651,31,2692,0,0,29,2,5,36,515,1199,116,87,776,,,,,,,,2693,0,0,35,0,1,36,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Havering,Heaton,Ward,Havering & Redbridge,E05000314,"2,874","8,380",34%,Zac Goldsmith - The Conservative Party,803,997,90,101,549,53,36,90,31,6,38,27,2821,0,0,20,3,30,53,266,336,242,195,549,168,84,156,64,28,120,27,2235,586,0,0,586,32,105,73,97,45,671,91,782,22,10,839,60,2827,0,0,30,0,16,46,886,739,123,87,993,,,,,,,,2828,0,0,38,0,7,45,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Havering,Hylands,Ward,Havering & Redbridge,E05000315,"3,593","8,886",40%,Zac Goldsmith - The Conservative Party,777,1908,137,120,413,30,32,56,12,3,37,4,3529,0,0,10,0,53,63,258,409,432,342,831,116,81,213,61,17,171,24,2955,573,1,0,574,35,82,42,153,30,1436,150,716,26,7,832,59,3568,0,0,11,1,13,25,789,1537,192,121,927,,,,,,,,3566,0,0,24,0,2,26,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Havering,Mawneys,Ward,Havering & Redbridge,E05000316,"3,047","8,252",37%,Zac Goldsmith - The Conservative Party,612,1618,105,95,383,15,26,67,21,5,32,6,2985,0,0,12,1,48,61,205,325,319,276,687,101,92,195,58,33,126,23,2440,541,3,1,545,33,84,27,108,32,1251,121,589,23,11,694,49,3022,0,0,11,2,12,25,625,1357,170,95,775,,,,,,,,3022,0,0,21,0,4,25,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Havering,Pettits,Ward,Havering & Redbridge,E05000317,"3,723","8,665",43%,Zac Goldsmith - The Conservative Party,571,2322,93,159,318,18,32,77,20,1,35,6,3652,0,0,15,4,51,70,226,373,454,386,906,116,76,186,42,27,164,27,2983,667,0,2,669,32,83,28,162,61,1874,126,524,33,7,699,59,3688,0,0,22,1,12,35,570,2008,169,151,791,,,,,,,,3689,0,0,27,0,5,32,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Havering,Postal Votes - Havering,Postal,Havering & Redbridge,E09000016 (Postal),"20,037","28,305",71%,Zac Goldsmith - The Conservative Party,3932,10473,688,649,2493,215,229,749,121,27,211,73,19860,0,14,59,5,99,177,1680,2210,2158,2339,4504,728,546,1942,335,176,1104,174,17896,1956,1,7,1964,233,904,213,744,237,8474,700,3811,210,59,4009,325,19919,0,5,57,2,38,102,4221,9024,982,778,4917,,,,,,,,19922,0,7,69,1,10,87,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Havering,Rainham And Wennington,Ward,Havering & Redbridge,E05000318,"2,734","8,242",33%,Zac Goldsmith - The Conservative Party,727,1103,73,97,465,30,40,82,10,5,34,5,2671,0,0,17,5,41,63,235,298,299,197,563,152,86,194,48,23,131,19,2245,420,5,1,426,25,88,42,102,37,717,93,711,32,5,803,38,2693,0,0,20,1,20,41,786,754,129,99,947,,,,,,,,2715,0,0,14,0,5,19,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Havering,Romford Town,Ward,Havering & Redbridge,E05000319,"3,629","10,141",36%,Zac Goldsmith - The Conservative Party,964,1687,184,182,321,20,35,65,29,2,58,10,3557,0,0,22,1,49,72,324,374,510,419,630,79,106,157,81,19,184,26,2909,647,0,1,648,38,82,30,214,44,1347,243,873,32,13,600,78,3594,0,0,25,1,9,35,963,1469,274,193,686,,,,,,,,3585,0,0,39,1,4,44,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Havering,St Andrew's,Ward,Havering & Redbridge,E05000320,"3,725","9,016",41%,Zac Goldsmith - The Conservative Party,731,1980,147,145,444,28,43,72,22,4,33,3,3652,0,0,20,6,47,73,238,399,511,374,853,112,77,212,73,35,190,28,3102,549,0,1,550,37,97,31,148,42,1465,198,661,34,14,890,70,3687,0,0,27,1,10,38,746,1552,222,130,1041,,,,,,,,3691,0,0,26,1,7,34,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Havering,South Hornchurch,Ward,Havering & Redbridge,E05000321,"2,793","8,914",31%,Zac Goldsmith - The Conservative Party,793,1071,82,67,449,44,24,118,21,3,31,5,2708,0,0,19,1,65,85,242,321,306,218,609,136,82,240,57,20,115,20,2366,337,1,4,342,28,143,51,69,30,698,105,760,27,8,799,43,2761,0,0,20,0,12,32,878,724,124,67,971,,,,,,,,2764,0,0,28,0,1,29,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Havering,Squirrel's Heath,Ward,Havering & Redbridge,E05000322,"3,411","8,401",41%,Zac Goldsmith - The Conservative Party,654,2059,118,95,262,17,21,40,22,8,47,11,3354,0,0,11,0,46,57,242,303,503,326,758,84,73,177,83,38,160,37,2784,569,1,0,570,40,61,31,116,30,1679,150,589,20,10,585,68,3379,0,0,18,2,11,31,621,1787,188,113,672,,,,,,,,3381,0,0,21,2,7,30,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Havering,Upminster,Ward,Havering & Redbridge,E05000323,"4,275","8,618",50%,Zac Goldsmith - The Conservative Party,695,2687,191,149,316,27,36,52,9,2,27,2,4193,0,0,13,4,64,81,251,397,674,476,1000,96,55,199,74,19,189,36,3466,727,0,0,727,38,72,31,199,33,2132,269,603,30,13,756,62,4238,0,0,26,1,10,37,650,2266,284,176,868,,,,,,,,4244,0,0,27,1,3,31,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Redbridge,Aldborough,Ward,Havering & Redbridge,E05000495,"3,787","8,810",43%,Sadiq Aman Khan - Labour Party,1744,1408,149,96,109,18,43,42,25,11,48,6,3699,0,0,32,3,52,87,565,509,480,322,281,45,257,114,97,59,184,22,2935,762,0,2,764,28,60,29,98,46,1173,165,1778,60,9,210,77,3733,0,0,29,2,23,54,1916,1262,213,105,232,,,,,,,,3728,0,0,44,1,13,58,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Redbridge,Barkingside,Ward,Havering & Redbridge,E05000496,"3,818","7,884",48%,Zac Goldsmith - The Conservative Party,1605,1715,123,89,69,10,62,17,26,6,39,6,3767,1,0,12,0,37,50,546,503,524,346,275,34,326,53,76,50,199,29,2961,792,14,0,806,20,22,8,86,33,1523,151,1638,73,8,139,68,3769,0,0,33,0,16,49,1730,1649,169,76,145,,,,,,,,3769,0,0,44,0,5,49,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
Redbridge,Bridge,Ward,Havering & Redbridge,E05000497,"3,013","7,474",40%,Zac Goldsmith - The Conservative Party,899,1418,145,138,170,15,29,49,32,4,57,6,2962,0,0,11,4,36,51,324,309,531,353,473,82,103,123,70,21,188,26,2603,359,0,0,359,39,63,26,165,51,1127,182,849,37,17,345,81,2982,0,0,16,0,15,31,956,1213,238,166,409,,,,,,,,2982,0,0,24,0,6,30,Ivana Bartoletti,Keith Anthony Prince,Lee Burkwood,Ian Victor Sanderson,Lawrence James Webb,,,,,,,
